conversation_id_str,full_text,id_str,user_id_str,username,full_text_normalized
1897660064498139228,Bahlil kedua entar bentar lg ada pahlawan kesiangan datang,1897794424249499834,1752535388131094528,redstar3_,Bahlil kedua nanti  bentar lagi  ada pahlawan kesiangan datang
1897792097069236383,benci w liat muka bahlil,1897792097069236383,1850559592771862528,pacarhijey,benci saya liat muka bahlil
1897791807137730856,Bahlil Lahadalia Targetkan Investasi Capai Rp. 10.157 Triliun Untuk Proyek Hilirisasi #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/jPrTZdADuz,1897791807137730856,721898354502930433,golkarpedia,Bahlil Lahadalia Targetkan Investasi Capai Rp. 10.157 Triliun Untuk Proyek Hilirisasi #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/jPrTZdADuz
1897176679057178852,Lebanon di anugerahi Kahlil Gibran Indonesia di uji dengan Bahlil dan Gibran.,1897785327852699932,1888593666371121152,Janjijoni_1,Lebanon di anugerahi Kahlil Gibran Indonesia di uji dengan Bahlil dan Gibran.
1897636538537681068,Jadi ingat Bahlil jika ketemu Gibran nunduk sampai cium tangan. Kalau sama emak2 ini berani cuekin Gibran.,1897784591647490133,1231858064648572928,Untungrakatesa,Jadi ingat Bahlil jika ketemu Gibran nunduk sampai cium tangan. Kalau sama emak2 ini berani cuekin Gibran.
1897769474969002418,Aamiin. Kanda Bahlil memang yang terbaik.,1897784289422721051,1846960991684472832,Donquixote_ricx,Aamiin. Kanda Bahlil memang yang terbaik.
1897784262515958260,Menteri ESDM Bahlil Lahadalia Siapkan Substitusi LPG Bakal Kembangkan Industri DME Batubara https://t.co/byy21jC4v0,1897784262515958260,1953620240,politiknesiacom,Menteri ESDM Bahlil Lahadalia Siapkan Substitusi LPG Bakal Kembangkan Industri DME Batubara https://t.co/byy21jC4v0
1897781924678320586,tolong jelasin pake bahasa S3 bahlil soal lia waroka lia waroka ini ada apasi??,1897781924678320586,1466250199089614848,papajahat_3gp,tolong jelasin pakai  bahasa S3 bahlil soal lia waroka lia waroka ini ada apasi??
1897655984396410945,mungkin saja gak ketahuan tp nanti lu di akhirat satu room sama bahlil,1897779159210008982,849887548675506176,aqil_mhmmd,mungkin saja tidak ketahuan tapi nanti kamu di akhirat satu room sama bahlil
1897777061931929910,pusing gua begini ya rasanya jdi bayu sama ayak yg sering gua tuduh simpanan bahlil? pdhal gua cuma lgi rebahan sambil nontonin bang droomp dibilang emosi pdhal dia bukan pemerintah yg bikin gua emosian,1897777061931929910,1713982458327384065,seishirio_0,pusing saya  begini ya rasanya jadi bayu sama ayak yang  sering saya  tuduh simpanan bahlil? padahal  saya  cuma lagi  rebahan sambil nontonin bang droomp dibilang emosi padahal  dia bukan pemerintah yang  bikin saya  emosian
1897740315328758258,Rakyat yang sedih Bahlil yang ketawa karena ada seperti yang dikatakannya,1897776961801667047,804469226119364608,didik_dsp,Rakyat yang sedih Bahlil yang tertawa  karena ada seperti yang dikatakannya
1897337194395918452,airlangga bahlil. zulhas dll perlu takut atau udh aman bro? nitip mereka buat digantung ya kalo berani itu jg presidennya. kan katanya jenderal tp masa pengecut. jenderal omon omon kah?,1897776242419442026,795264861072539648,syqsyms,airlangga bahlil. zulhas dan lain perlu takut atau sudah aman bro? nitip mereka buat digantung ya kalau  berani itu juga presidennya. kan katanya jenderal tapi masa pengecut. jenderal omon omon kah?
1897318472478285998,Bagaimana kalau kita tawur bahlil,1897774938481692693,1564599353230049280,Ibrahimfroz,Bagaimana kalau kita tawur bahlil
1897770631157989620,Kelakuan warga si Bahlil anying pantesan wapres lu Gibran kocak. Ga punya akal sehat. Tolol.,1897770631157989620,1437249446538997762,onlyone_woo96,Kelakuan warga si Bahlil anying pantas  wapres kamu Gibran kocak. Ga punya akal sehat. Tolol.
1897414860876738665,Kalo gak salah ini murid bahlil . .,1897770294162661516,724263020,cusenk,Kalo tidak salah ini murid bahlil . .
1897692997523063012,Mendingan kita mikirin bahlil ga sih?,1897767267741712683,59057080,dhumaharahap,Mendingan kita memikirkan  bahlil tidak sih?
